TEAM_NAME,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Atlanta Hawks,-15,-19,-4,15,7,20,22,42,78,36,37
Boston Celtics,8,19,47,55,57,65,85,100,88,86,46
Brooklyn Nets,-24,-17,-19,-99,-6,16,52,53,42,44,-80
Charlotte Hornets,-26,-13,7,1,4,9,21,22,39,36,34
Chicago Bulls,59,34,52,65,68,46,95,114,103,115,39
Cleveland Cavaliers,33,19,11,21,25,-40,-6,-13,39,46,11
Dallas Mavericks,-4,13,38,30,24,43,21,99,105,84,55
Denver Nuggets,-1,12,8,14,26,21,49,47,52,27,15
Detroit Pistons,10,8,10,18,16,22,22,52,52,45,43
Golden State Warriors,22,29,43,45,58,74,120,103,109,200,-44
Houston Rockets,18,27,64,38,75,63,95,103,110,94,33
Indiana Pacers,-11,11,12,25,19,24,29,50,55,39,4
Los Angeles Clippers,9,9,15,20,21,-12,35,43,70,57,18
Los Angeles Lakers,24,48,66,104,133,119,136,147,178,155,63
Memphis Grizzlies,-25,-13,11,11,10,0,15,27,24,22,12
Miami Heat,26,15,29,13,21,21,63,40,58,38,16
Milwaukee Bucks,-8,-1,12,12,12,24,20,25,69,27,11
Minnesota Timberwolves,-7,-5,-3,7,15,26,53,47,46,32,29
New Orleans Pelicans,-3,3,11,19,20,17,37,29,49,44,24
New York Knicks,75,83,96,53,109,141,140,155,157,178,71
Oklahoma City Thunder,25,30,33,31,21,-8,64,10,-23,51,48
Orlando Magic,-16,12,12,21,35,45,39,64,70,37,29
Philadelphia 76ers,-10,-1,-4,24,14,18,40,68,90,51,13
Phoenix Suns,13,13,28,28,22,26,31,47,42,20,15
Portland Trail Blazers,-8,-10,30,12,4,41,25,40,51,27,19
Sacramento Kings,6,3,13,9,4,18,50,72,81,45,25
San Antonio Spurs,14,15,39,41,32,18,59,53,66,63,39
Toronto Raptors,7,19,29,18,23,46,51,76,79,79,2
Utah Jazz,-16,12,18,33,28,36,61,59,63,42,96
Washington Wizards,-3,2,7,10,3,7,21,34,55,39,15
