TEAM_NAME,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Atlanta Hawks,109,99,119,133,142,169,209,215,251,222,199
Boston Celtics,146,143,169,173,181,200,257,287,304,274,211
Brooklyn Nets,89,84,190,212,220,223,273,290,304,280,212
Charlotte Hornets,101,93,115,130,142,158,202,213,240,215,183
Chicago Bulls,185,162,195,201,228,232,281,287,301,300,213
Cleveland Cavaliers,149,128,145,149,191,233,280,302,300,269,211
Dallas Mavericks,166,137,162,168,177,194,233,287,307,295,231
Denver Nuggets,113,110,124,136,140,157,202,222,252,218,185
Detroit Pistons,141,125,139,144,154,172,221,235,255,227,192
Golden State Warriors,139,127,160,168,201,305,359,401,440,474,258
Houston Rockets,150,135,191,175,237,244,296,326,348,308,223
Indiana Pacers,101,98,121,139,138,157,205,222,243,217,179
Los Angeles Clippers,108,108,128,146,176,185,257,258,282,262,219
Los Angeles Lakers,208,197,295,293,304,333,371,395,434,400,316
Memphis Grizzlies,99,96,126,135,147,155,206,213,224,210,186
Miami Heat,158,150,188,188,180,210,253,259,294,266,218
Milwaukee Bucks,92,78,109,110,126,146,179,204,283,239,212
Minnesota Timberwolves,97,96,116,128,146,154,204,223,234,214,199
New Orleans Pelicans,109,100,116,131,142,156,204,214,224,209,181
New York Knicks,244,243,287,278,307,376,426,443,472,421,298
Oklahoma City Thunder,126,127,144,152,157,187,222,241,258,236,183
Orlando Magic,140,126,139,143,143,166,211,223,244,218,188
Philadelphia 76ers,116,107,117,125,124,140,184,268,300,259,236
Phoenix Suns,136,121,137,145,154,173,218,235,246,222,206
Portland Trail Blazers,132,117,140,153,157,178,223,246,287,240,201
Sacramento Kings,104,96,115,125,141,164,240,263,286,245,192
San Antonio Spurs,139,135,167,172,170,187,259,262,285,255,205
Toronto Raptors,134,121,149,151,163,193,250,275,334,264,194
Utah Jazz,120,111,131,142,146,164,221,243,258,226,262
Washington Wizards,109,102,122,143,146,155,222,255,269,231,213
