TEAM_NAME,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Atlanta Hawks,26.3,20.1,23.6,22.9,27.8,28.3,27.5,29.5,45.3,32.7
Boston Celtics,52.7,42.4,54.4,54.2,51.2,49.4,64.7,63.3,72.5,64.1
Brooklyn Nets,23.3,17.1,39.5,42.4,46.1,40.9,47.5,48.5,55.1,52.5
Charlotte Hornets,19.5,14.1,18.2,18.5,21.9,22.2,23.5,24.8,23.7,17.2
Chicago Bulls,59.0,49.7,64.6,69.5,71.8,73.4,72.9,69.9,70.0,63.9
Cleveland Cavaliers,42.9,25.8,31.2,30.6,37.9,40.5,48.1,50.6,67.4,46.8
Dallas Mavericks,42.9,32.9,42.7,42.5,43.0,43.0,42.2,43.0,57.4,55.3
Denver Nuggets,32.6,26.4,37.3,34.6,30.1,28.3,29.7,36.6,41.6,36.7
Detroit Pistons,28.0,19.5,24.2,24.6,24.4,21.7,45.2,35.7,35.8,28.0
Golden State Warriors,26.1,21.2,28.6,35.4,41.8,64.3,77.9,92.4,100.4,92.1
Houston Rockets,33.2,24.8,31.4,42.4,49.3,49.4,47.3,51.6,66.6,56.7
Indiana Pacers,17.2,14.5,20.0,23.0,22.8,26.9,27.4,26.3,34.5,30.2
Los Angeles Clippers,36.4,32.4,49.7,55.1,64.4,65.3,70.4,62.8,63.9,55.5
Los Angeles Lakers,89.6,75.2,97.4,98.8,98.3,100.5,101.0,104.8,116.8,88.3
Memphis Grizzlies,15.0,13.0,19.8,20.6,22.0,21.2,22.4,22.9,21.3,17.8
Miami Heat,48.7,44.1,59.0,63.3,63.0,62.3,62.0,66.8,75.7,50.4
Milwaukee Bucks,26.5,20.4,28.4,24.9,29.3,30.5,33.8,37.7,46.9,41.2
Minnesota Timberwolves,20.0,18.5,23.5,21.5,22.0,21.5,24.3,31.5,29.5,22.2
New Orleans Pelicans,20.5,17.0,18.7,20.2,22.6,22.7,23.9,27.0,27.6,21.1
New York Knicks,72.8,77.6,97.5,105.6,105.6,105.6,105.4,103.0,109.1,86.9
Oklahoma City Thunder,37.2,30.6,38.1,41.1,41.1,41.1,46.3,52.2,52.2,43.3
Orlando Magic,42.8,34.9,31.7,28.0,28.9,30.2,30.6,30.1,36.0,29.1
Philadelphia 76ers,24.8,22.5,26.7,22.2,22.3,23.2,27.0,43.3,58.7,46.7
Phoenix Suns,46.8,31.9,36.7,37.1,38.9,39.3,39.7,39.1,37.0,32.5
Portland Trail Blazers,45.4,32.5,39.0,41.3,42.5,42.1,42.0,46.1,52.8,42.6
Sacramento Kings,29.6,23.0,24.2,28.7,31.3,34.0,54.1,48.7,56.1,46.3
San Antonio Spurs,39.8,33.4,42.3,41.5,45.0,41.6,49.1,56.6,56.3,41.3
Toronto Raptors,42.1,31.7,40.9,43.4,43.7,43.9,52.9,52.9,63.4,53.2
Utah Jazz,32.8,26.8,33.7,33.5,33.2,34.0,35.5,32.3,42.0,35.8
Washington Wizards,23.4,18.8,23.5,23.0,26.2,34.8,55.1,56.8,60.9,42.6
